APiCS Online -- Structure dataset (feature-value table): Lingala
Lexifier: Bantu | Region: Central and East Africa
Source: https://apics-online.info/contributions/60
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Lingala>  [source citation]
54. Suppletion according to tense and aspect -- No suppletion according to tense or aspect  [Own knowledge]
55. Ability verb and epistemic possibility -- Ability verb also expresses epistemic possibility  [Own knowledge]
56. The prohibitive -- Special imperative construction and normal negator  [Own knowledge, Meeuwis 1998: 27]
57. Marking of patient noun phrases -- No marking of patient NPs  [Own knowledge]
58. Alignment of case marking of full noun phrases -- Neutral alignment  [Own knowledge]
59. Alignment of case marking of personal pronouns -- Neutral alignment  [Own knowledge]
60. Ditransitive constructions with ‘give’ -- Double-object construction  [Own knowledge]
60. Ditransitive constructions with ‘give’ -- Indirect-object construction  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – recipient – theme  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – theme – recipient  [Own knowledge]
62. Expression of pronominal subjects -- Pronoun affixes  [Own knowledge, Meeuwis 1998: 41]
63. Expletive subject in ‘seem’ constructions -- 'There is no 'seem' construction  [Own knowledge]
64. Expletive subject of existential verb -- An expletive subject is not used  [Own knowledge]
65. Raining constructions -- Rain falls  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Body-part is subject  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Experiencer is subject  [Own knowledge]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [Own knowledge]
67. Experiencer constructions with ‘like’ -- Experiencer is object  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [Own knowledge]
69. Instrumental expressions -- Adposition  [Own knowledge]
70. Comitatives and instrumentals -- Identity  [Own knowledge]
71. Noun phrase conjunction and comitative -- Identity  [Own knowledge]
72. Nominal and verbal conjunction -- Differentiation  [Own knowledge]
73. Predicative noun phrases -- Variable copula  [Own knowledge]
74. Predicative adjectives -- Invariant copula  [Own knowledge]
75. Predicative locative phrases -- Invariant copula  [Own knowledge]
76. Predicative noun phrases and predicative locative phrases -- Overlap  [Own knowledge, Meeuwis 1998: 24]
77. Predicative possession -- Comitative  [Own knowledge, Meeuwis 1998: 19]
78. Existential verb and transitive possession verb -- No transitive possession verb  [Own knowledge]
79. Going to named places -- Preposition  [Own knowledge]
79. Going to named places -- No adpositional/case marking  [Own knowledge]
80. Coming from named places -- Preposition  [Own knowledge]
80. Coming from named places -- No adpositional/case marking  [Own knowledge]
81. Motion-to and motion-from -- Identity  [Own knowledge]
82. Transitive motion verbs: ‘push’ -- At-rest marking is used to express motion-to  [Own knowledge]
83. Transitive motion verbs: ‘pull’ -- At-rest marking is used to express motion-from  [Own knowledge]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals do not exist  [Own knowledge]
85. ‘Take’ serial verb constructions -- No ‘take’ serials  [Own knowledge]
86. 'Give' serial verb constructions -- No ‘give’ serials exist  [Own knowledge]
87. Reflexive constructions -- Reflexive marking on the verb  [Own knowledge, Meeuwis 1998: 27]
88. Intensifiers and reflexive pronouns -- Intensifiers and reflexives are differentiated  [Own knowledge, Meeuwis 1998: 27]
89. Reciprocal constructions -- Other special reciprocal construction  [Own knowledge, Meeuwis 1998: 27]
90. Passive constructions -- Typical passive construction  [Own knowledge, Meeuwis 1998: 36]
91. Applicative constructions -- Benefactive and other functions  [Own knowledge, Meeuwis 1998: 35]
92. Subject relative clauses -- Zero and gap  [Own knowledge, Meeuwis 1998: 42]
92. Subject relative clauses -- Relative particle and gap  [Own knowledge, Meeuwis 1998: 42]
93. Object relative clauses -- Relative particle and gap  [Own knowledge, Meeuwis 1998: 42]
93. Object relative clauses -- Zero and gap  [Own knowledge, Meeuwis 1998: 42]
94. Instrument relative clauses -- Zero and resumptive pronoun  [Own knowledge, Meeuwis 1998: 42]
94. Instrument relative clauses -- Relative particle and resumptive pronoun  [Own knowledge, Meeuwis 1998: 42]
95. Complementizer with verbs of speaking -- Complementizer not synchronically related to ‘say’  [Own knowledge]
95. Complementizer with verbs of speaking -- No complementizer  [Own knowledge]
96. Complementizer with verbs of knowing -- No complementizer  [Own knowledge, Meeuwis 1998: 45]
96. Complementizer with verbs of knowing -- Complementizer not synchronically related to ‘say’  [Own knowledge, Meeuwis 1998: 45]
97. ‘Want’ complement subjects -- The complement subject is left implicit  [Own knowledge, Meeuwis 1997: 540; Meeuwis 1998: 45]
97. ‘Want’ complement subjects -- The complement subject is expressed overtly  [Own knowledge, Meeuwis 1997: 540; Meeuwis 1998: 45]
98. Complements of 'think' and 'want' -- Identical complementizer  [Own knowledge, Meeuwis 1998: 45]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [Own knowledge]
100. Negative morpheme types -- Negative particle  [Own knowledge, Meeuwis 1998: 25]
101. Position of standard negation -- After verb plus postverbal object  [Own knowledge, Meeuwis 1998: 25]
102. Negation and indefinite pronouns -- Co-occurrence with predicate negation  [Own knowledge]
103. Polar questions -- Only interrogative intonation  [Own knowledge]
104. Focusing of the noun phrase -- Fronting with particle after focus  [Meeuwis 1998: 43]
105. Verb doubling and focus -- Verb fronted with a copy in the background clause  [Own knowledge]
106. Focus particle ‘also’ -- Before the focused element  [Own knowledge]
106. Focus particle ‘also’ -- After the focused element  [Own knowledge]
107. Vocative markers -- Optional vocative marker following noun  [Own knowledge]
