APiCS Online -- Structure dataset (feature-value table): Michif
Lexifier: Other | Region: North America
Source: https://apics-online.info/contributions/75
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Michif>  [source citation]
50. Negation and tense, aspect, and mood marking -- Same TAM marking in negated clauses  [Own knowledge]
51. Present reference of stative verbs and past perfective reference of dynamic verbs -- Stative verbs with present reference and dynamic verbs with past perfective reference are marked differently  [Own knowledge]
52. Aspect markers and inchoative meaning -- No inchoative meaning with aspect markers  [Own knowledge]
53. Aspect change in verb chains -- Verb chaining does not exist  [Own knowledge]
54. Suppletion according to tense and aspect -- No suppletion according to tense or aspect  [Own knowledge]
55. Ability verb and epistemic possibility -- Ability verb cannot express epistemic possibility  [Own knowledge]
56. The prohibitive -- Normal imperative construction and special negator  [Own knowledge]
57. Marking of patient noun phrases -- Only animate patient NPs are marked  [Own knowledge]
58. Alignment of case marking of full noun phrases -- Accusative alignment  [Bakker 1997: 88f]
59. Alignment of case marking of personal pronouns -- Accusative alignment  [Own knowledge]
60. Ditransitive constructions with ‘give’ -- Double-object construction  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Other theme – recipient  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Other recipient – theme  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Verb-initial theme – recipient  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Verb-initial recipient – theme  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – recipient – theme – verb  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – theme – recipient – verb  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – recipient – theme  [Own knowledge]
62. Expression of pronominal subjects -- Pronoun affixes  [Bakker 1997: 100f]
63. Expletive subject in ‘seem’ constructions -- 'There is no 'seem' construction  [Own knowledge]
64. Expletive subject of existential verb -- An expletive subject is not used  [Own knowledge]
65. Raining constructions -- Rains  [Own knowledge]
65. Raining constructions -- Rain falls  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Incorporated body-part noun  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Body-part is subject  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Experiencer is subject  [Own knowledge]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [Own knowledge]
69. Instrumental expressions -- Adposition  [Own knowledge]
69. Instrumental expressions -- Non-serial verb  [Own knowledge]
70. Comitatives and instrumentals -- Overlap  [Own knowledge]
71. Noun phrase conjunction and comitative -- Differentiation  [Own knowledge]
72. Nominal and verbal conjunction -- Identity, overtly expressed  [Own knowledge]
73. Predicative noun phrases -- Variable copula  [Own knowledge, Bakker 1997: 90f, 102]
74. Predicative adjectives -- Variable copula  [Own knowledge]
75. Predicative locative phrases -- Invariant copula  [Own knowledge]
76. Predicative noun phrases and predicative locative phrases -- Differentiation  [Own knowledge, Bakker 1997]
77. Predicative possession -- Transitive  [Own knowledge]
78. Existential verb and transitive possession verb -- Overlap  [Own knowledge]
79. Going to named places -- Preposition  [Own knowledge]
79. Going to named places -- No adpositional/case marking  [Own knowledge]
80. Coming from named places -- Postposition  [Own knowledge]
81. Motion-to and motion-from -- Differentiation  [Own knowledge]
82. Transitive motion verbs: ‘push’ -- At-rest marking is used to express motion-to  [Own knowledge]
83. Transitive motion verbs: ‘pull’ -- Circumposition  [Own knowledge]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals do not exist  [Own knowledge]
85. ‘Take’ serial verb constructions -- No ‘take’ serials  [Own knowledge]
86. 'Give' serial verb constructions -- No ‘give’ serials exist  [Own knowledge]
87. Reflexive constructions -- Reflexive marking on the verb  [Own knowledge]
88. Intensifiers and reflexive pronouns -- Intensifiers and reflexives are differentiated  [Own knowledge]
89. Reciprocal constructions -- Other special reciprocal construction  [Own knowledge]
90. Passive constructions -- Other atypical passive construction  [Own knowledge]
90. Passive constructions -- Typical passive construction  [Own knowledge]
91. Applicative constructions -- Benefactive function and transitive base  [Own knowledge]
