APiCS Online -- Structure dataset (feature-value table): Kinubi
Lexifier: Arabic | Region: Central and East Africa
Source: https://apics-online.info/contributions/63
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Kinubi>  [source citation]
147 features recorded for this language in the primary structure dataset.

---
62. Expression of pronominal subjects -- Obligatory pronoun words  [Luffin 2005: 351]
63. Expletive subject in ‘seem’ constructions -- An expletive subject is not used  [Personal data]
64. Expletive subject of existential verb -- An expletive subject is not used  [Luffin 2005: 313]
65. Raining constructions -- Rain falls  [Heine 1982: 79]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [Personal data]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [Personal data]
69. Instrumental expressions -- Adposition  [Personal data]
70. Comitatives and instrumentals -- Identity  [Luffin 2005: 229]
71. Noun phrase conjunction and comitative -- Overlap  [Luffin 2005: 244]
72. Nominal and verbal conjunction -- Overlap  [Luffin 2005: 391]
73. Predicative noun phrases -- Variable copula  [Luffin 2005: 353]
74. Predicative adjectives -- Variable copula  [Luffin 2005: 352]
75. Predicative locative phrases -- Variable copula  [Luffin 2005: 351.353]
76. Predicative noun phrases and predicative locative phrases -- Differentiation  [Luffin 2005: 351]
77. Predicative possession -- Genitive  [Luffin 2005: 315 sq]
77. Predicative possession -- Transitive  [Luffin 2005: 315 sq]
77. Predicative possession -- Comitative  [Luffin 2005: 315 sq]
78. Existential verb and transitive possession verb -- Overlap  [Luffin 2005: 315]
79. Going to named places -- Preposition  [Luffin 2005: 222, 241]
80. Coming from named places -- Preposition  [Luffin 2005: 222]
81. Motion-to and motion-from -- Overlap  [Luffin 2005: 222]
83. Transitive motion verbs: ‘pull’ -- Special motion-from adposition  [Personal data]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals do not exist  [Luffin 2005: 297]
85. ‘Take’ serial verb constructions -- No ‘take’ serials  [Personal data]
86. 'Give' serial verb constructions -- No ‘give’ serials exist  [Personal data]
87. Reflexive constructions -- Ordinary anaphoric pronoun  [Luffin 2005: 301; Wellens 2005: 71]
88. Intensifiers and reflexive pronouns -- No special reflexive pronouns exist  [Luffin 2005: 179]
89. Reciprocal constructions -- Other special reciprocal construction  [Luffin 2005: 301-2]
90. Passive constructions -- Typical passive construction  [Luffin 2005: 304]
91. Applicative constructions -- No applicative construction exists  [Personal data]
92. Subject relative clauses -- Relative particle and gap  [Luffin 2005: 366]
92. Subject relative clauses -- Zero and resumptive pronoun  [Luffin 2005: 366]
92. Subject relative clauses -- Zero and gap  [Luffin 2005: 366]
93. Object relative clauses -- Relative particle and gap  [Luffin 2005: 366]
93. Object relative clauses -- Relative particle and resumptive pronoun  [Luffin 2005: 366]
95. Complementizer with verbs of speaking -- No complementizer  [Luffin 2005: 369]
95. Complementizer with verbs of speaking -- Complementizer identical to bare ‘say’  [Luffin 2005: 369]
96. Complementizer with verbs of knowing -- Complementizer identical to bare ‘say’  [Luffin 2005: 369]
96. Complementizer with verbs of knowing -- No complementizer  [Luffin 2005: 369]
97. ‘Want’ complement subjects -- The complement subject is left implicit  [Luffin 2005: 299]
98. Complements of 'think' and 'want' -- No complementizer  [Luffin 2005: 299]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [Personal data]
100. Negative morpheme types -- Negative particle  [Luffin 2005: 216]
101. Position of standard negation -- After verb plus postverbal object  [Luffin 2005: 216, 376]
101. Position of standard negation -- Before the verb  [Luffin 2005: 216, 376]
102. Negation and indefinite pronouns -- Co-occurrence with predicate negation  [Personal data]
103. Polar questions -- Only interrogative intonation  [Luffin 2005: 379, 383]
103. Polar questions -- Final question particle  [Luffin 2005: 379, 383]
104. Focusing of the noun phrase -- Cleft with copula after focus  [Wellens 2005: 257; Luffin 2005: 381]
105. Verb doubling and focus -- No verb doubling  [Wellens 2005: 193]
106. Focus particle ‘also’ -- After the focused element  [Personal data]
106. Focus particle ‘also’ -- Before the focused element  [Personal data]
107. Vocative markers -- Optional vocative marker preceding noun  [Luffin 2005: 383]
108. Para-linguistic usages of clicks -- No para-linguistic clicks  [Luffin 2005: 260]
109. Pequenino -- A word derived from pequenino does not exist  [Own knowledge]
110. Savvy -- A savvy word does not exist  [Own knowledge]
111. 'Tears' -- Bimorphemic  [Heine 1982: 81]
112. 'Hand' and 'arm' -- Identity  [Heine 1982: 64]
114. 'Body hair' and 'feather' -- Differentiation  [Personal data]
115. 'Hear' and 'smell' -- Differentiation  [Personal data]
116. 'Green' and 'blue' -- Differentiation  [Personal data]
117. Female and male animals -- Postposed sex-denoting word  [Personal data]
118. Syllable onsets -- Onsets at most moderately complex  [Luffin 2005: 69]
119. Syllable codas -- Codas at most moderately complex  [Luffin 2005: 69]
120. Tone -- Reduced tone system  [Luffin 2005: 72]
121. Vowel height distinctions -- Three vowel heights
122. Nasal vowels -- No nasal vowels exist
123. The schwa vowel -- [ə] does not exist
124. Labiodental fricatives -- [f] and [v] exist in a limited way
125. Palato-alveolar sibilants -- Only [ʃ] exists
126. The voiced sibilant [z] -- [z] exists as a major allophone
127. Interdental fricatives -- [θ] and [ð] exist only in loanwords
128. The palatal nasal -- [ɲ] exists only in loanwords
129. Prenasalized consonants -- Prenasalized segments exist
130. The segment [h] -- [h] exists as a major allophone
