APiCS Online -- Structure dataset (feature-value table): Sri Lankan Malay
Lexifier: Malay | Region: South Asia
Source: https://apics-online.info/contributions/66
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Sri Lankan Malay>  [source citation]
65. Raining constructions -- Rain exists  [M.T.M. Rihan, p.c.]
66. Experiencer constructions with ‘headache’ -- Experiencer is dative  [M.T.M. Rihan, p.c.]
67. Experiencer constructions with ‘like’ -- Experiencer is dative  [M.T.M. Rihan, p.c.]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [M.T.M. Rihan, p.c.]
69. Instrumental expressions -- Case marker  [M.T.M. Rihan, p.c.]
70. Comitatives and instrumentals -- Differentiation  [M.T.M. Rihan, p.c.]
71. Noun phrase conjunction and comitative -- Differentiation  [Own knowledge]
72. Nominal and verbal conjunction -- Identity, overtly expressed  [Own knowledge]
73. Predicative noun phrases -- No copula  [M.T.M. Rihan, p.c.]
74. Predicative adjectives -- No copula  [M.T.M. Rihan, p.c.]
75. Predicative locative phrases -- Invariant copula  [Own knowledge]
76. Predicative noun phrases and predicative locative phrases -- Differentiation  [M.T.M. Rihan, p.c.]
77. Predicative possession -- Locational  [Own knowledge]
78. Existential verb and transitive possession verb -- No transitive possession verb  [Own knowledge]
79. Going to named places -- Postpostion  [M.T.M. Rihan, p.c.]
80. Coming from named places -- Postposition  [M.T.M. Rihan, p.c.]
81. Motion-to and motion-from -- Differentiation  [M.T.M. Rihan, p.c.]
82. Transitive motion verbs: ‘push’ -- At-rest marking is used to express motion-to  [M.T.M. Rihan, p.c.]
83. Transitive motion verbs: ‘pull’ -- Ablative case  [M.T.M. Rihan, p.c.]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals do not exist  [Own knowledge]
85. ‘Take’ serial verb constructions -- Theme of the second verb, literal interpretation possible  [M.T.M. Rihan, p.c.]
86. 'Give' serial verb constructions -- No ‘give’ serials exist  [Own knowledge]
87. Reflexive constructions -- Compound reflexive pronoun with emphasizer  [M.T.M. Rihan, p.c.]
88. Intensifiers and reflexive pronouns -- Intensifiers and reflexives are differentiated  [M.T.M. Rihan, p.c.]
89. Reciprocal constructions -- Reciprocal construction identical to reflexive  [M.T.M. Rihan, p.c.]
90. Passive constructions -- Other atypical passive construction  [M.T.M. Rihan, p.c.]
91. Applicative constructions -- No applicative construction exists  [Own knowledge]
92. Subject relative clauses -- Zero and gap  [M.T.M. Rihan, p.c., Saldin 2001: 64-65]
92. Subject relative clauses -- Verbal affix  [M.T.M. Rihan, p.c., Saldin 2001: 64-65]
93. Object relative clauses -- Verbal affix  [Own knowledge]
93. Object relative clauses -- Zero and gap  [Own knowledge]
94. Instrument relative clauses -- Instrument meaning is left implicit  [M.T.M. Rihan, p.c.]
95. Complementizer with verbs of speaking -- Complementizer not synchronically related to ‘say’  [Own knowledge]
96. Complementizer with verbs of knowing -- Complementizer not synchronically related to ‘say’  [M.T.M. Rihan, p.c.]
97. ‘Want’ complement subjects -- The complement subject is left implicit  [Own knowledge]
98. Complements of 'think' and 'want' -- Only 'think' complement has a complementizer  [M.T.M. Rihan, p.c.]
99. Verb doubling in temporal clauses -- Verb doubling is possible in temporal clauses  [M.T.M. Rihan, p.c.]
100. Negative morpheme types -- Negative affix  [Own knowledge]
101. Position of standard negation -- Before the verb  [Own knowledge]
102. Negation and indefinite pronouns -- Co-occurrence with predicate negation  [Own knowledge]
103. Polar questions -- Final question particle  [Own knowledge]
104. Focusing of the noun phrase -- In situ focusing (with particle)  [Own knowledge]
105. Verb doubling and focus -- No verb doubling  [Own knowledge]
107. Vocative markers -- Optional vocative marker following noun  [M.T.M. Rihan, p.c.]
108. Para-linguistic usages of clicks -- Both logical and affective meanings  [M.T.M. Rihan, p.c.]
109. Pequenino -- A word derived from pequenino does not exist  [Own knowledge]
110. Savvy -- A savvy word does not exist  [Own knowledge]
111. 'Tears' -- Bimorphemic  [M.T.M. Rihan, p.c.]
112. 'Hand' and 'arm' -- Identity  [M.T.M. Rihan, p.c.]
113. 'Finger' and 'toe' -- Identity and differentiation  [M.T.M. Rihan, p.c.]
114. 'Body hair' and 'feather' -- Overlap  [M.T.M. Rihan, p.c.]
115. 'Hear' and 'smell' -- Differentiation  [M.T.M. Rihan, p.c.]
116. 'Green' and 'blue' -- Differentiation  [Own knowledge]
117. Female and male animals -- Preposed sex-denoting word  [Own knowledge]
118. Syllable onsets -- Onsets at most moderately complex  [Own knowledge]
119. Syllable codas -- Only simple codas  [Own knowledge]
120. Tone -- No tone distinctions  [Own knowledge]
121. Vowel height distinctions -- Three vowel heights
122. Nasal vowels -- No nasal vowels exist
123. The schwa vowel -- [ə] exists as a major allophone
124. Labiodental fricatives -- [f] and [v] exist in a limited way
125. Palato-alveolar sibilants -- [ʃ] and [ʒ] exist in a limited way
126. The voiced sibilant [z] -- [z] exists only in loanwords
127. Interdental fricatives -- Only [θ] exists, in a limited way
128. The palatal nasal -- [ɲ] exists as a major allophone
129. Prenasalized consonants -- Prenasalized segments exist
130. The segment [h] -- [h] exists as a major allophone
