APiCS Online -- Structure dataset (feature-value table): Afrikaans
Lexifier: Dutch | Region: Southern Africa
Source: https://apics-online.info/contributions/29
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Afrikaans>  [source citation]
60. Ditransitive constructions with ‘give’ -- Indirect-object construction  [Own knowledge]
60. Ditransitive constructions with ‘give’ -- Double-object construction  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Verb-initial recipient – theme  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – recipient – theme – verb  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Verb-initial theme – recipient  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – recipient – theme  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – theme – recipient – verb  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – theme – recipient  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Other theme – recipient  [Own knowledge]
62. Expression of pronominal subjects -- Obligatory pronoun words  [Own knowledge]
63. Expletive subject in ‘seem’ constructions -- An expletive subject is used  [Own knowledge]
64. Expletive subject of existential verb -- An expletive subject is used  [Own knowledge]
65. Raining constructions -- It rains  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Body-part is subject  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Experiencer is subject  [Own knowledge]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- 'Fear' is subject, experiencer is object  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is non-verbal  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- Body-part is subject  [Own knowledge]
69. Instrumental expressions -- Adposition  [Own knowledge]
70. Comitatives and instrumentals -- Identity  [Own knowledge]
71. Noun phrase conjunction and comitative -- Differentiation  [Own knowledge]
72. Nominal and verbal conjunction -- Identity, overtly expressed  [Own knowledge]
73. Predicative noun phrases -- Invariant copula  [Own knowledge]
74. Predicative adjectives -- Invariant copula  [Own knowledge]
75. Predicative locative phrases -- Invariant copula  [Own knowledge]
76. Predicative noun phrases and predicative locative phrases -- Identity  [Own knowledge]
77. Predicative possession -- Transitive  [Own knowledge]
78. Existential verb and transitive possession verb -- Differentiation  [Own knowledge]
79. Going to named places -- Postpostion  [Own knowledge]
79. Going to named places -- Preposition  [Own knowledge]
79. Going to named places -- Circumposition  [Own knowledge]
80. Coming from named places -- Circumposition  [Own knowledge]
80. Coming from named places -- Preposition  [Own knowledge]
81. Motion-to and motion-from -- Differentiation  [Own knowledge]
82. Transitive motion verbs: ‘push’ -- At-rest marking is used to express motion-to  [Own knowledge]
82. Transitive motion verbs: ‘push’ -- Circumposition  [Own knowledge]
83. Transitive motion verbs: ‘pull’ -- Special motion-from adposition  [Own knowledge]
83. Transitive motion verbs: ‘pull’ -- Circumposition  [Own knowledge]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals do not exist  [Own knowledge, Ponelis 1993: 325-331]
85. ‘Take’ serial verb constructions -- No ‘take’ serials  [Own knowledge]
86. 'Give' serial verb constructions -- No ‘give’ serials exist  [Own knowledge]
87. Reflexive constructions -- Ordinary anaphoric pronoun  [Own knowledge, Ponelis 1993: 255-256]
87. Reflexive constructions -- Compound reflexive pronoun with emphasizer  [Own knowledge, Ponelis 1993: 255-256]
88. Intensifiers and reflexive pronouns -- Intensifiers and reflexives are identical  [Own knowledge]
89. Reciprocal constructions -- Special reciprocal construction based on 'other'  [Own knowledge]
90. Passive constructions -- Typical passive construction  [Own knowledge, Donaldson 1993: 257-262]
91. Applicative constructions -- No applicative construction exists  [Own knowledge]
92. Subject relative clauses -- Relative particle and gap  [Own knowledge]
93. Object relative clauses -- Relative particle and gap  [Own knowledge]
94. Instrument relative clauses -- Relative particle and gap with preposition stranding  [Own knowledge]
94. Instrument relative clauses -- Relative pronoun with pied-piping  [Own knowledge]
95. Complementizer with verbs of speaking -- No complementizer  [Own knowledge]
95. Complementizer with verbs of speaking -- Complementizer not synchronically related to ‘say’  [Own knowledge]
96. Complementizer with verbs of knowing -- Complementizer not synchronically related to ‘say’  [Own knowledge]
