APiCS Online -- Structure dataset (feature-value table): Jamaican
Lexifier: English | Region: Caribbean
Source: https://apics-online.info/contributions/8
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Jamaican>  [source citation]
43. Position of tense, aspect, and mood markers in relation to the verb -- In a leftward position  [more]
43. Position of tense, aspect, and mood markers in relation to the verb -- Immediately preceding the verb  [more]
44. Internal order of tense, aspect, and mood markers -- The feature does not apply  [more]
45. Tightness of the link between the past marker and the verb -- Particle, a few lexical items may intervene  [more]
46. Tightness of the link between the progressive marker and the verb -- Particle, nothing can intervene  [more]
47. Uses of the progressive marker -- Progressive, habitual, and future  [more]
48. Uses of the habitual marker -- Habitual, progressive and future  [more]
49. Tense-aspect systems -- Mixed aspectual-temporal system  [more]
50. Negation and tense, aspect, and mood marking -- Same TAM marking in negated clauses  [more]
51. Present reference of stative verbs and past perfective reference of dynamic verbs -- Stative verbs with present reference and dynamic verbs with past perfective reference are both unmarked  [more]
52. Aspect markers and inchoative meaning -- Inchoative expressed by progressive marker  [more]
53. Aspect change in verb chains -- Aspect change in verb chains is not possible  [more]
54. Suppletion according to tense and aspect -- No suppletion according to tense or aspect  [more]
55. Ability verb and epistemic possibility -- Ability verb cannot express epistemic possibility  [more]
56. The prohibitive -- Normal imperative construction and normal negator  [more]
57. Marking of patient noun phrases -- No marking of patient NPs  [more]
58. Alignment of case marking of full noun phrases -- Neutral alignment  [more]
59. Alignment of case marking of personal pronouns -- Neutral alignment  [more]
60. Ditransitive constructions with ‘give’ -- Double-object construction  [more]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – recipient – theme  [more]
62. Expression of pronominal subjects -- Obligatory pronoun words  [more]
63. Expletive subject in ‘seem’ constructions -- An expletive subject is used  [more]
64. Expletive subject of existential verb -- An expletive subject is used  [more]
65. Raining constructions -- Rain falls  [more]
66. Experiencer constructions with ‘headache’ -- Body-part is subject  [more]
67. Experiencer constructions with ‘like’ -- Experiencer is object  [more]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [more]
68. Experiencer constructions with ‘fear’ -- 'Fear' is subject, experiencer is object  [more]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [more]
69. Instrumental expressions -- Serial verb  [more]
70. Comitatives and instrumentals -- Identity  [more]
71. Noun phrase conjunction and comitative -- Differentiation  [more]
72. Nominal and verbal conjunction -- Identity, overtly expressed  [more]
73. Predicative noun phrases -- Invariant copula  [more]
74. Predicative adjectives -- No copula  [more]
75. Predicative locative phrases -- Variable copula  [more]
76. Predicative noun phrases and predicative locative phrases -- Differentiation  [more]
77. Predicative possession -- Transitive  [more]
78. Existential verb and transitive possession verb -- Identity  [more]
79. Going to named places -- Preposition  [more]
79. Going to named places -- No adpositional/case marking  [more]
79. Going to named places -- Serial verb plus preposition  [more]
80. Coming from named places -- Preposition  [more]
81. Motion-to and motion-from -- Differentiation  [more]
82. Transitive motion verbs: ‘push’ -- At-rest marking is used to express motion-to  [more]
