APiCS Online -- Structure dataset (feature-value table): Zamboanga Chabacano
Lexifier: Spanish | Region: Southeast Asia
Source: https://apics-online.info/contributions/46
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Zamboanga Chabacano>  [source citation]
61. Order of recipient and theme in ditransitive constructions -- Verb-initial recipient – theme  [Own knowledge]
62. Expression of pronominal subjects -- Optional pronoun words  [Own knowledge]
63. Expletive subject in ‘seem’ constructions -- 'There is no 'seem' construction  [Own knowledge, Forman 1972: 96-97]
64. Expletive subject of existential verb -- An expletive subject is not used  [Own knowledge]
65. Raining constructions -- Rains  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Body-part is subject  [Own knowledge]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is non-verbal  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [Own knowledge]
69. Instrumental expressions -- Adposition  [Own knowledge]
70. Comitatives and instrumentals -- Differentiation  [Own knowledge]
71. Noun phrase conjunction and comitative -- Differentiation  [Own knowledge]
72. Nominal and verbal conjunction -- Identity, overtly expressed  [Own knowledge]
73. Predicative noun phrases -- No copula  [Own knowledge, Aoto 2002; Lipski and Santoro 2007: 387]
74. Predicative adjectives -- No copula  [Own knowledge]
75. Predicative locative phrases -- Variable copula  [Own knowledge]
76. Predicative noun phrases and predicative locative phrases -- Overlap  [Own knowledge]
77. Predicative possession -- Transitive  [Own knowledge]
78. Existential verb and transitive possession verb -- Identity  [Own knowledge]
79. Going to named places -- Preposition  [Own knowledge]
80. Coming from named places -- Preposition  [Own knowledge]
81. Motion-to and motion-from -- Overlap  [Own knowledge]
82. Transitive motion verbs: ‘push’ -- At-rest marking is used to express motion-to  [Own knowledge]
82. Transitive motion verbs: ‘push’ -- Special motion-to preposition  [Own knowledge]
83. Transitive motion verbs: ‘pull’ -- At-rest marking is used to express motion-from  [Own knowledge]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals do not exist  [Own knowledge, Forman 1993; Forman 1972: 204-213]
85. ‘Take’ serial verb constructions -- No ‘take’ serials  [Own knowledge, Forman 1993; Forman 1972: 204-213]
86. 'Give' serial verb constructions -- ‘Give’ in first position, recipient only  [Own knowledge, Forman 1993; Forman 1972: 204-213]
87. Reflexive constructions -- Reflexive pronoun with ‘body’ or body-part  [Own knowledge]
88. Intensifiers and reflexive pronouns -- Intensifiers and reflexives are differentiated  [Own knowledge]
89. Reciprocal constructions -- Other special reciprocal construction  [Own knowledge]
90. Passive constructions -- Absence of passive construction  [Own knowledge]
91. Applicative constructions -- No applicative construction exists  [Own knowledge]
92. Subject relative clauses -- Relative pronoun  [Own knowledge]
92. Subject relative clauses -- Relative particle and gap  [Own knowledge]
92. Subject relative clauses -- Zero and gap  [Own knowledge]
93. Object relative clauses -- Relative pronoun  [Own knowledge]
93. Object relative clauses -- Zero and gap  [Own knowledge]
94. Instrument relative clauses -- Relative pronoun with pied-piping  [Own knowledge]
94. Instrument relative clauses -- Zero and resumptive pronoun  [Own knowledge]
95. Complementizer with verbs of speaking -- Complementizer not synchronically related to ‘say’  [Own knowledge, Forman 1972: 147. 202]
95. Complementizer with verbs of speaking -- No complementizer  [Own knowledge, Forman 1972: 147. 202]
