APiCS Online -- Structure dataset (feature-value table): Kikongo-Kituba
Lexifier: Bantu | Region: Central and East Africa
Source: https://apics-online.info/contributions/58
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Kikongo-Kituba>  [source citation]
56. The prohibitive -- Normal imperative construction and normal negator  [Own knowledge]
57. Marking of patient noun phrases -- No marking of patient NPs  [Own knowledge]
58. Alignment of case marking of full noun phrases -- Neutral alignment  [Own knowledge]
59. Alignment of case marking of personal pronouns -- Neutral alignment  [Own knowledge]
60. Ditransitive constructions with ‘give’ -- Double-object construction  [Own knowledge]
61. Order of recipient and theme in ditransitive constructions -- Subject – verb – recipient – theme  [Own knowledge]
62. Expression of pronominal subjects -- Obligatory pronoun words  [Own knowledge]
63. Expletive subject in ‘seem’ constructions -- 'There is no 'seem' construction  [Own knowledge]
64. Expletive subject of existential verb -- An expletive subject is not used  [Own knowledge]
65. Raining constructions -- Rain rains  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Experiencer is subject  [Own knowledge]
66. Experiencer constructions with ‘headache’ -- Body-part is subject  [Own knowledge]
67. Experiencer constructions with ‘like’ -- Experiencer is subject  [Own knowledge]
68. Experiencer constructions with ‘fear’ -- Experiencer is subject, 'fear' is verbal  [Own knowledge]
69. Instrumental expressions -- Adposition  [Own knowledge]
70. Comitatives and instrumentals -- Identity  [Own knowledge]
71. Noun phrase conjunction and comitative -- Differentiation  [Own knowledge]
72. Nominal and verbal conjunction -- Differentiation  [Own knowledge]
73. Predicative noun phrases -- Invariant copula  [Own knowledge]
74. Predicative adjectives -- Invariant copula  [Own knowledge]
75. Predicative locative phrases -- Invariant copula  [Own knowledge]
76. Predicative noun phrases and predicative locative phrases -- Identity  [Own knowledge]
77. Predicative possession -- Comitative  [Own knowledge]
78. Existential verb and transitive possession verb -- No transitive possession verb  [Own knowledge]
79. Going to named places -- Preposition  [Own knowledge]
79. Going to named places -- No adpositional/case marking  [Own knowledge]
80. Coming from named places -- No adpositional/case marking  [Own knowledge]
80. Coming from named places -- Preposition  [Own knowledge]
81. Motion-to and motion-from -- Identity  [Own knowledge]
82. Transitive motion verbs: ‘push’ -- At-rest marking is used to express motion-to  [Own knowledge]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals do not exist  [Own knowledge]
85. ‘Take’ serial verb constructions -- Theme of the second verb, literal interpretation possible  [Own knowledge]
85. ‘Take’ serial verb constructions -- Instrument of the second verb, no resumptive pronoun  [Own knowledge]
86. 'Give' serial verb constructions -- No ‘give’ serials exist  [Own knowledge]
87. Reflexive constructions -- Compound reflexive pronoun with emphasizer  [Own knowledge]
88. Intensifiers and reflexive pronouns -- Intensifiers and reflexives are identical  [Own knowledge]
89. Reciprocal constructions -- Other special reciprocal construction  [Own knowledge]
90. Passive constructions -- Absence of passive construction  [Own knowledge]
91. Applicative constructions -- Benefactive function and any base  [Own knowledge]
92. Subject relative clauses -- Relative particle and gap  [Own knowledge]
93. Object relative clauses -- Relative particle and gap  [Own knowledge]
94. Instrument relative clauses -- Relative particle and resumptive pronoun  [Own knowledge]
95. Complementizer with verbs of speaking -- Complementizer not synchronically related to ‘say’  [Own knowledge]
98. Complements of 'think' and 'want' -- Only 'think' complement has a complementizer  [Own knowledge]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [Own knowledge]
100. Negative morpheme types -- Negative particle  [Own knowledge]
101. Position of standard negation -- After verb plus postverbal object  [Own knowledge]
102. Negation and indefinite pronouns -- Co-occurrence with predicate negation  [Own knowledge]
103. Polar questions -- Initial question particle  [Own knowledge]
104. Focusing of the noun phrase -- Cleft with focus particle before focus  [Own knowledge]
105. Verb doubling and focus -- Verb fronted with a copy in the background clause  [Own knowledge]
106. Focus particle ‘also’ -- Before the focused element  [Own knowledge]
106. Focus particle ‘also’ -- After the focused element  [Own knowledge]
107. Vocative markers -- No vocative marker  [Own knowledge]
108. Para-linguistic usages of clicks -- Clicks can express only affective meanings  [Own knowledge]
109. Pequenino -- A word derived from pequenino does not exist  [Own knowledge]
110. Savvy -- A savvy word does not exist  [Own knowledge]
111. 'Tears' -- Monomorphemic  [Own knowledge]
